,aggressive,caring,confident,dominant,egotistic,emotionally stable,intelligent,mean,responsible,sociable,trustworthy,unhappy,weird
aggressive,0.00E+00,5.38E+00,3.35E+00,2.21E+00,2.49E+00,5.05E+00,4.12E+00,2.30E+00,4.52E+00,4.19E+00,4.84E+00,3.16E+00,4.25E+00
caring,5.38E+00,0.00E+00,3.07E+00,4.58E+00,5.17E+00,2.49E+00,3.12E+00,5.95E+00,2.55E+00,2.68E+00,2.26E+00,4.57E+00,3.74E+00
confident,3.35E+00,3.07E+00,0.00E+00,2.75E+00,2.73E+00,2.42E+00,2.77E+00,4.14E+00,2.76E+00,2.26E+00,2.88E+00,5.23E+00,4.36E+00
dominant,2.21E+00,4.58E+00,2.75E+00,0.00E+00,2.42E+00,3.88E+00,3.47E+00,2.81E+00,3.75E+00,3.51E+00,4.06E+00,4.28E+00,4.52E+00
egotistic,2.49E+00,5.17E+00,2.73E+00,2.42E+00,0.00E+00,4.63E+00,3.70E+00,2.65E+00,4.26E+00,3.66E+00,4.69E+00,3.87E+00,4.08E+00
emotionally stable,5.05E+00,2.49E+00,2.42E+00,3.88E+00,4.63E+00,0.00E+00,3.11E+00,5.17E+00,2.51E+00,2.82E+00,2.51E+00,5.28E+00,4.32E+00
intelligent,4.12E+00,3.12E+00,2.77E+00,3.47E+00,3.70E+00,3.11E+00,0.00E+00,4.25E+00,2.72E+00,3.32E+00,3.03E+00,3.99E+00,3.36E+00
mean,2.30E+00,5.95E+00,4.14E+00,2.81E+00,2.65E+00,5.17E+00,4.25E+00,0.00E+00,4.75E+00,4.87E+00,5.31E+00,2.77E+00,4.35E+00
responsible,4.52E+00,2.55E+00,2.76E+00,3.75E+00,4.26E+00,2.51E+00,2.72E+00,4.75E+00,0.00E+00,3.17E+00,2.15E+00,4.46E+00,4.11E+00
sociable,4.19E+00,2.68E+00,2.26E+00,3.51E+00,3.66E+00,2.82E+00,3.32E+00,4.87E+00,3.17E+00,0.00E+00,3.06E+00,5.05E+00,4.52E+00
trustworthy,4.84E+00,2.26E+00,2.88E+00,4.06E+00,4.69E+00,2.51E+00,3.03E+00,5.31E+00,2.15E+00,3.06E+00,0.00E+00,4.49E+00,4.06E+00
unhappy,3.16E+00,4.57E+00,5.23E+00,4.28E+00,3.87E+00,5.28E+00,3.99E+00,2.77E+00,4.46E+00,5.05E+00,4.49E+00,0.00E+00,3.53E+00
weird,4.25E+00,3.74E+00,4.36E+00,4.52E+00,4.08E+00,4.32E+00,3.36E+00,4.35E+00,4.11E+00,4.52E+00,4.06E+00,3.53E+00,0.00E+00
