,aggressive,caring,confident,dominant,egotistic,emotionally stable,intelligent,mean,responsible,sociable,trustworthy,unhappy,weird
aggressive,0.00E+00,1.74E+00,1.14E+00,3.43E-01,7.29E-01,1.55E+00,1.44E+00,1.36E-01,1.29E+00,1.66E+00,1.61E+00,4.15E-01,7.14E-01
caring,1.74E+00,0.00E+00,5.85E-01,1.36E+00,1.03E+00,3.26E-01,4.35E-01,1.83E+00,4.89E-01,1.87E-01,3.16E-01,1.74E+00,1.37E+00
confident,1.14E+00,5.85E-01,0.00E+00,5.87E-01,2.51E-01,4.27E-01,4.38E-01,1.23E+00,4.73E-01,3.73E-01,4.60E-01,1.62E+00,1.41E+00
dominant,3.43E-01,1.36E+00,5.87E-01,0.00E+00,3.58E-01,9.97E-01,9.91E-01,4.00E-01,8.54E-01,1.17E+00,1.13E+00,7.81E-01,1.22E+00
egotistic,7.29E-01,1.03E+00,2.51E-01,3.58E-01,0.00E+00,8.08E-01,7.17E-01,7.72E-01,7.45E-01,7.67E-01,7.68E-01,1.21E+00,1.28E+00
emotionally stable,1.55E+00,3.26E-01,4.27E-01,9.97E-01,8.08E-01,0.00E+00,2.50E-01,1.60E+00,2.62E-01,2.30E-01,1.88E-01,1.59E+00,1.70E+00
intelligent,1.44E+00,4.35E-01,4.38E-01,9.91E-01,7.17E-01,2.50E-01,0.00E+00,1.48E+00,2.24E-01,3.52E-01,2.72E-01,1.45E+00,1.61E+00
mean,1.36E-01,1.83E+00,1.23E+00,4.00E-01,7.72E-01,1.60E+00,1.48E+00,0.00E+00,1.36E+00,1.77E+00,1.66E+00,2.67E-01,6.76E-01
responsible,1.29E+00,4.89E-01,4.73E-01,8.54E-01,7.45E-01,2.62E-01,2.24E-01,1.36E+00,0.00E+00,4.34E-01,2.99E-01,1.37E+00,1.54E+00
sociable,1.66E+00,1.87E-01,3.73E-01,1.17E+00,7.67E-01,2.30E-01,3.52E-01,1.77E+00,4.34E-01,0.00E+00,1.68E-01,1.81E+00,1.55E+00
trustworthy,1.61E+00,3.16E-01,4.60E-01,1.13E+00,7.68E-01,1.88E-01,2.72E-01,1.66E+00,2.99E-01,1.68E-01,0.00E+00,1.58E+00,1.72E+00
unhappy,4.15E-01,1.74E+00,1.62E+00,7.81E-01,1.21E+00,1.59E+00,1.45E+00,2.67E-01,1.37E+00,1.81E+00,1.58E+00,0.00E+00,7.78E-01
weird,7.14E-01,1.37E+00,1.41E+00,1.22E+00,1.28E+00,1.70E+00,1.61E+00,6.76E-01,1.54E+00,1.55E+00,1.72E+00,7.78E-01,0.00E+00
